AAPL_Returns,AAPL_Volume,MSFT_Returns,MSFT_Volume,NVDA_Returns,NVDA_Volume,AMZN_Returns,AMZN_Volume,JNJ_Returns,JNJ_Volume,JPM_Returns,JPM_Volume,XOM_Returns,XOM_Volume,CAT_Returns,CAT_Volume,PG_Returns,PG_Volume,NEE_Returns,NEE_Volume
269.7784729003906,49274800,513.3692016601562,20958700,198.67893981933594,188919300,249.32000732421875,51546300,185.6810760498047,7209400,309.25,7085200,113.15032196044922,16860700,547.5800170898438,3440700,147.1699981689453,9295400,81.14055633544922,6474500
269.8783874511719,43683100,506.2125549316406,23024300,195.1991424560547,171350300,250.1999969482422,40610700,184.8264923095703,5049400,311.67999267578125,6865200,112.6943130493164,12400900,569.1500244140625,2701300,145.7899932861328,11199900,81.58753204345703,7291000
269.50872802734375,51204000,496.1713562011719,27406500,188.0695343017578,223029800,243.0399932861328,46004200,185.79037475585938,6767400,313.4200134277344,7206100,113.5072021484375,14219700,569.780029296875,2245800,146.1300048828125,10024500,81.44847106933594,6212700
268.2099914550781,48227400,495.8918762207031,24019800,188.1395263671875,264942300,244.41000366210938,46374300,185.39291381835938,6959200,314.2099914550781,7302300,116.20361328125,17181100,563.0999755859375,2320100,146.97999572753906,8500100,83.36548614501953,9167100
269.42999267578125,41312400,505.0547180175781,26101500,199.03892517089844,198897100,248.39999389648438,36476500,187.22129821777344,5323800,316.8900146484375,5794100,117.1949462890625,13048000,570.8499755859375,1829900,145.5,10208100,84.19983673095703,11701700
275.25,46208300,507.7297058105469,17980000,193.1492462158203,176483300,249.10000610351562,23564100,192.6071014404297,7465600,315.6199951171875,5030200,118.74141693115234,16077100,567.9299926757812,1517400,148.5399932861328,7332500,85.18318176269531,11733900
273.4700012207031,48398000,510.1851501464844,26574900,193.78921508789062,154935300,244.1999969482422,31190100,193.16355895996094,8803000,320.4100036621094,10578300,117.09581756591797,13790900,573.02001953125,2645100,148.00999450683594,7851100,85.31230926513672,7604800
272.95001220703125,49602800,502.34979248046875,25273100,186.84959411621094,207423100,237.5800018310547,41401700,194.0181427001953,8631600,309.4800109863281,8973300,117.76000213623047,17291900,553.5499877929688,3458700,147.9600067138672,7566800,83.42508697509766,11859300
272.4100036621094,47431300,509.2268981933594,28505700,190.15940856933594,186591900,234.69000244140625,38956700,194.69384765625,8824800,303.6099853515625,10327000,119.29000091552734,17064300,554.030029296875,2764500,147.6699981689453,9150800,83.31582641601562,8352100
267.4599914550781,45018300,506.54193115234375,19092800,186.58961486816406,173628900,232.8699951171875,59919000,198.32081604003906,13257000,300.3699951171875,8344000,117.68000030517578,16034900,552.0499877929688,1941100,145.82000732421875,9902300,85.17324829101562,11607900
267.44000244140625,45677300,492.8675537109375,33815100,181.3498992919922,213598900,222.5500030517578,60608400,198.73817443847656,12468600,299.4100036621094,8077300,119.02999877929688,15808500,546.8800048828125,1918600,146.99000549316406,10735200,84.07071685791016,11061200
268.55999755859375,40424500,486.2099914550781,23245300,186.50961303710938,247246400,222.69000244140625,58335600,201.23233032226562,14690800,303.2699890136719,5546600,117.3499984741211,15919200,553.1099853515625,1880900,146.99000549316406,6367000,83.70320129394531,11138700
266.25,45823600,478.42999267578125,26802500,180.62994384765625,343504800,217.13999938964844,50309000,201.78880310058594,10612600,298.3800048828125,7501600,117.0199966430664,14401000,546.1300048828125,3195000,148.19000244140625,9021300,83.73300170898438,10967000
271.489990234375,59030800,472.1199951171875,31769200,178.8700408935547,346926200,220.69000244140625,68490500,202.61355590820312,13189100,298.0199890136719,11766800,117.08000183105469,15667600,550.4299926757812,2921600,150.9199981689453,12018000,83.4800033569336,13930100
275.9200134277344,65585800,474.0,34421000,182.5398406982422,256618300,226.27999877929688,54318400,204.75,14803900,298.0,10940200,115.97000122070312,18034900,559.5999755859375,4653500,146.97999572753906,13846900,84.2300033569336,13291500
276.9700012207031,46914200,476.989990234375,28019800,177.8101043701172,320600300,229.6699981689453,39379300,206.6699981689453,10275300,303.0,8877200,114.51000213623047,14434600,566.6099853515625,3105100,148.49000549316406,10477700,84.83000183105469,7916800
277.54998779296875,33431400,485.5,25709100,180.2499542236328,183852000,229.16000366210938,38497900,207.55999755859375,6729000,307.6400146484375,7910900,114.7699966430664,11650600,573.72998046875,1995100,148.25,9238500,85.54000091552734,6550600
278.8500061035156,20135600,492.010009765625,14386700,176.99014282226562,121332800,233.22000122070312,20292300,206.9199981689453,5638300,313.0799865722656,4322400,115.91999816894531,7240800,575.760009765625,1019500,148.16000366210938,4707200,86.29000091552734,4123300
283.1000061035156,46587700,486.739990234375,23964000,179.9099884033203,188131000,233.8800048828125,42904000,205.33999633789062,8473700,308.9200134277344,7727300,116.62999725341797,12658100,568.0599975585938,1764500,147.44000244140625,8240700,84.6500015258789,7986600
286.19000244140625,53669500,490.0,19562700,181.4499053955078,182632200,234.4199981689453,45785400,205.4199981689453,8393600,307.8800048828125,7249000,115.37999725341797,14607700,582.469970703125,2749500,145.86000061035156,16376800,84.58000183105469,7087000
284.1499938964844,43538700,477.7300109863281,34615100,179.5800018310547,165138000,232.3800048828125,35495100,205.3300018310547,8363300,312.1300048828125,8535300,117.80000305175781,16819100,591.489990234375,2545700,146.7100067138672,9125300,84.94999694824219,9615100
280.70001220703125,43989100,480.8399963378906,22318200,183.3800048828125,167364900,229.11000061035156,45683200,202.47999572753906,9049900,316.1000061035156,9627800,117.13999938964844,13686900,599.1500244140625,2313600,145.36000061035156,10479300,83.38999938964844,12489600
278.7799987792969,47265800,483.1600036621094,22608700,182.41000366210938,143971100,229.52999877929688,33117400,201.92999267578125,7785300,315.0400085449219,6518900,116.54000091552734,12516900,603.1699829101562,2177300,143.4499969482422,12791700,83.12999725341797,8194600
277.8900146484375,38211800,491.0199890136719,21965900,185.5500030517578,204378100,226.88999938964844,35019200,201.6199951171875,7785700,315.2099914550781,7417200,115.9800033569336,14904200,596.5,1822500,138.33999633789062,17507500,80.55000305175781,18136600
277.17999267578125,32193300,492.0199890136719,14696100,184.97000122070312,144719700,227.9199981689453,25841700,199.9600067138672,7509400,300.510009765625,18049200,118.25,23790800,594.3599853515625,1755300,139.6300048828125,10375700,79.63999938964844,13760400
278.7799987792969,33038300,478.55999755859375,35756200,183.77999877929688,162785400,231.77999877929688,38790700,206.5399932861328,11599800,310.1099853515625,18874100,119.54000091552734,19845200,615.3499755859375,2797900,139.82000732421875,13650400,81.2699966430664,13341100
278.0299987792969,33248000,483.4700012207031,24669200,180.92999267578125,182136600,230.27999877929688,28249600,210.00999450683594,9009000,317.3800048828125,9721900,119.54000091552734,14781800,625.6099853515625,2779500,140.75999450683594,11798000,81.20999908447266,9494100
278.2799987792969,39532900,478.5299987792969,21248100,175.02000427246094,204274900,226.19000244140625,35639100,211.5800018310547,6922700,318.5199890136719,8982900,118.81999969482422,14459500,597.8900146484375,4581100,142.83999633789062,10268800,81.6500015258789,7783100
274.1099853515625,50409100,474.82000732421875,23727700,176.2899932861328,164775600,222.5399932861328,47286100,214.1699981689453,8467000,320.0199890136719,10864100,117.76000213623047,16358700,589.760009765625,3968600,145.1300048828125,13877700,81.6500015258789,9489800
274.6099853515625,37648600,476.3900146484375,20705600,177.72000122070312,148588100,222.55999755859375,39298900,209.3000030517578,9949800,315.54998779296875,8331300,114.68000030517578,17638700,588.9299926757812,2319400,145.2100067138672,10251700,81.31999969482422,6616600
271.8399963378906,50138700,476.1199951171875,24527200,170.94000244140625,222775500,221.27000427246094,44034400,210.3300018310547,8457600,314.9800109863281,8718700,117.41000366210938,18502200,561.8900146484375,3753300,147.80999755859375,9833300,80.29000091552734,10212000
272.19000244140625,51630700,483.9800109863281,28573500,174.13999938964844,176096000,226.75999450683594,50272400,208.30999755859375,7499900,313.0,11444900,116.54000091552734,13705600,565.8300170898438,2193000,145.52000427246094,12239900,80.8499984741211,9201300
273.6700134277344,144599200,485.9200134277344,70824900,180.99000549316406,324372500,227.35000610351562,85482700,206.3699951171875,24802700,317.2099914550781,24493700,116.69000244140625,45410400,576.219970703125,5355100,144.4600067138672,19343200,79.54000091552734,30491000
